idx	boot_n	sample
123	10	MMRF_1439_1_BM_CD138pos_pair
819	10	MMRF_2808_1_BM_CD138pos_pair
689	10	MMRF_2584_1_BM_CD138pos_pair
570	10	MMRF_2344_1_BM_CD138pos_pair
101	10	MMRF_1380_1_BM_CD138pos_pair
9	10	MMRF_1038_1_BM_CD138pos_pair
806	10	MMRF_2781_1_BM_CD138pos_pair
718	10	MMRF_2646_1_BM_CD138pos_pair
303	10	MMRF_1795_1_BM_CD138pos_pair
49	10	MMRF_1231_1_BM_CD138pos_pair
636	10	MMRF_2485_1_BM_CD138pos_pair
412	10	MMRF_2018_1_BM_CD138pos_pair
79	10	MMRF_1325_1_BM_CD138pos_pair
57	10	MMRF_1267_1_BM_CD138pos_pair
38	10	MMRF_1171_1_BM_CD138pos_pair
822	10	MMRF_2816_1_BM_CD138pos_pair
591	10	MMRF_2400_1_BM_CD138pos_pair
763	10	MMRF_2722_1_BM_CD138pos_pair
428	10	MMRF_2063_1_BM_CD138pos_pair
198	10	MMRF_1614_1_BM_CD138pos_pair
92	10	MMRF_1355_1_BM_CD138pos_pair
407	10	MMRF_2007_1_BM_CD138pos_pair
337	10	MMRF_1851_1_BM_CD138pos_pair
683	10	MMRF_2574_1_BM_CD138pos_pair
605	10	MMRF_2428_1_BM_CD138pos_pair
5	10	MMRF_1031_1_BM_CD138pos_pair
58	10	MMRF_1269_1_BM_CD138pos_pair
699	10	MMRF_2602_1_BM_CD138pos_pair
378	10	MMRF_1940_1_BM_CD138pos_pair
394	10	MMRF_1988_1_BM_CD138pos_pair
739	10	MMRF_2685_1_BM_CD138pos_pair
47	10	MMRF_1210_1_BM_CD138pos_pair
464	10	MMRF_2140_1_BM_CD138pos_pair
333	10	MMRF_1845_1_BM_CD138pos_pair
389	10	MMRF_1978_1_BM_CD138pos_pair
821	10	MMRF_2815_1_BM_CD138pos_pair
473	10	MMRF_2159_1_BM_CD138pos_pair
12	10	MMRF_1049_1_BM_CD138pos_pair
667	10	MMRF_2541_1_BM_CD138pos_pair
12	10	MMRF_1049_1_BM_CD138pos_pair
354	10	MMRF_1882_1_BM_CD138pos_pair
160	10	MMRF_1538_1_BM_CD138pos_pair
784	10	MMRF_2753_1_BM_CD138pos_pair
408	10	MMRF_2012_1_BM_CD138pos_pair
847	10	MMRF_2853_1_BM_CD138pos_pair
484	10	MMRF_2185_1_BM_CD138pos_pair
475	10	MMRF_2168_1_BM_CD138pos_pair
531	10	MMRF_2271_1_BM_CD138pos_pair
469	10	MMRF_2150_1_BM_CD138pos_pair
74	10	MMRF_1312_1_BM_CD138pos_pair
345	10	MMRF_1862_1_BM_CD138pos_pair
453	10	MMRF_2116_1_BM_CD138pos_pair
77	10	MMRF_1323_1_BM_CD138pos_pair
417	10	MMRF_2041_1_BM_CD138pos_pair
469	10	MMRF_2150_1_BM_CD138pos_pair
496	10	MMRF_2204_1_BM_CD138pos_pair
463	10	MMRF_2138_1_BM_CD138pos_pair
57	10	MMRF_1267_1_BM_CD138pos_pair
250	10	MMRF_1706_1_BM_CD138pos_pair
263	10	MMRF_1726_1_BM_CD138pos_pair
305	10	MMRF_1797_1_BM_CD138pos_pair
628	10	MMRF_2471_1_BM_CD138pos_pair
168	10	MMRF_1555_1_BM_CD138pos_pair
669	10	MMRF_2545_1_BM_CD138pos_pair
15	10	MMRF_1061_1_BM_CD138pos_pair
425	10	MMRF_2059_1_BM_CD138pos_pair
299	10	MMRF_1790_1_BM_CD138pos_pair
781	10	MMRF_2750_1_BM_CD138pos_pair
605	10	MMRF_2428_1_BM_CD138pos_pair
127	10	MMRF_1450_1_BM_CD138pos_pair
682	10	MMRF_2573_1_BM_CD138pos_pair
575	10	MMRF_2365_1_BM_CD138pos_pair
702	10	MMRF_2606_1_BM_CD138pos_pair
91	10	MMRF_1354_1_BM_CD138pos_pair
353	10	MMRF_1881_1_BM_CD138pos_pair
47	10	MMRF_1210_1_BM_CD138pos_pair
220	10	MMRF_1647_1_BM_CD138pos_pair
284	10	MMRF_1771_1_BM_CD138pos_pair
565	10	MMRF_2333_1_BM_CD138pos_pair
720	10	MMRF_2650_1_BM_CD138pos_pair
234	10	MMRF_1672_1_BM_CD138pos_pair
376	10	MMRF_1932_1_BM_CD138pos_pair
268	10	MMRF_1736_1_BM_CD138pos_pair
617	10	MMRF_2453_1_BM_CD138pos_pair
38	10	MMRF_1171_1_BM_CD138pos_pair
828	10	MMRF_2822_1_BM_CD138pos_pair
810	10	MMRF_2789_1_BM_CD138pos_pair
73	10	MMRF_1311_1_BM_CD138pos_pair
326	10	MMRF_1834_1_BM_CD138pos_pair
754	10	MMRF_2707_1_BM_CD138pos_pair
196	10	MMRF_1610_1_BM_CD138pos_pair
438	10	MMRF_2089_1_BM_CD138pos_pair
603	10	MMRF_2426_1_BM_CD138pos_pair
718	10	MMRF_2646_1_BM_CD138pos_pair
751	10	MMRF_2704_1_BM_CD138pos_pair
629	10	MMRF_2472_1_BM_CD138pos_pair
2	10	MMRF_1021_1_BM_CD138pos_pair
444	10	MMRF_2098_1_BM_CD138pos_pair
830	10	MMRF_2826_1_BM_CD138pos_pair
294	10	MMRF_1783_1_BM_CD138pos_pair
58	10	MMRF_1269_1_BM_CD138pos_pair
790	10	MMRF_2760_1_BM_CD138pos_pair
767	10	MMRF_2729_1_BM_CD138pos_pair
582	10	MMRF_2379_1_BM_CD138pos_pair
698	10	MMRF_2601_1_BM_CD138pos_pair
821	10	MMRF_2815_1_BM_CD138pos_pair
605	10	MMRF_2428_1_BM_CD138pos_pair
47	10	MMRF_1210_1_BM_CD138pos_pair
381	10	MMRF_1960_1_BM_CD138pos_pair
107	10	MMRF_1392_1_BM_CD138pos_pair
535	10	MMRF_2281_1_BM_CD138pos_pair
531	10	MMRF_2271_1_BM_CD138pos_pair
700	10	MMRF_2604_1_BM_CD138pos_pair
667	10	MMRF_2541_1_BM_CD138pos_pair
176	10	MMRF_1574_1_BM_CD138pos_pair
568	10	MMRF_2339_1_BM_CD138pos_pair
192	10	MMRF_1603_1_BM_CD138pos_pair
216	10	MMRF_1643_1_BM_CD138pos_pair
177	10	MMRF_1576_1_BM_CD138pos_pair
787	10	MMRF_2756_1_BM_CD138pos_pair
695	10	MMRF_2596_1_BM_CD138pos_pair
671	10	MMRF_2548_1_BM_CD138pos_pair
311	10	MMRF_1810_1_BM_CD138pos_pair
585	10	MMRF_2384_1_BM_CD138pos_pair
798	10	MMRF_2769_1_BM_CD138pos_pair
350	10	MMRF_1876_1_BM_CD138pos_pair
516	10	MMRF_2240_1_BM_CD138pos_pair
664	10	MMRF_2535_1_BM_CD138pos_pair
115	10	MMRF_1424_1_BM_CD138pos_pair
777	10	MMRF_2742_1_BM_CD138pos_pair
64	10	MMRF_1285_1_BM_CD138pos_pair
416	10	MMRF_2039_1_BM_CD138pos_pair
458	10	MMRF_2126_1_BM_CD138pos_pair
397	10	MMRF_1994_1_BM_CD138pos_pair
38	10	MMRF_1171_1_BM_CD138pos_pair
534	10	MMRF_2279_1_BM_CD138pos_pair
689	10	MMRF_2584_1_BM_CD138pos_pair
791	10	MMRF_2761_1_BM_CD138pos_pair
764	10	MMRF_2723_1_BM_CD138pos_pair
572	10	MMRF_2353_1_BM_CD138pos_pair
597	10	MMRF_2411_1_BM_CD138pos_pair
31	10	MMRF_1148_1_BM_CD138pos_pair
434	10	MMRF_2081_1_BM_CD138pos_pair
261	10	MMRF_1723_1_BM_CD138pos_pair
642	10	MMRF_2493_1_BM_CD138pos_pair
490	10	MMRF_2197_1_BM_CD138pos_pair
41	10	MMRF_1180_1_BM_CD138pos_pair
517	10	MMRF_2244_1_BM_CD138pos_pair
207	10	MMRF_1629_1_BM_CD138pos_pair
251	10	MMRF_1710_1_BM_CD138pos_pair
524	10	MMRF_2258_1_BM_CD138pos_pair
327	10	MMRF_1835_1_BM_CD138pos_pair
292	10	MMRF_1781_1_BM_CD138pos_pair
271	10	MMRF_1740_1_BM_CD138pos_pair
779	10	MMRF_2745_1_BM_CD138pos_pair
811	10	MMRF_2792_1_BM_CD138pos_pair
466	10	MMRF_2143_1_BM_CD138pos_pair
388	10	MMRF_1977_1_BM_CD138pos_pair
618	10	MMRF_2455_1_BM_CD138pos_pair
606	10	MMRF_2429_1_BM_CD138pos_pair
282	10	MMRF_1766_1_BM_CD138pos_pair
188	10	MMRF_1597_1_BM_CD138pos_pair
185	10	MMRF_1593_1_BM_CD138pos_pair
433	10	MMRF_2080_1_BM_CD138pos_pair
3	10	MMRF_1029_1_BM_CD138pos_pair
514	10	MMRF_2237_1_BM_CD138pos_pair
754	10	MMRF_2707_1_BM_CD138pos_pair
475	10	MMRF_2168_1_BM_CD138pos_pair
269	10	MMRF_1738_1_BM_CD138pos_pair
261	10	MMRF_1723_1_BM_CD138pos_pair
613	10	MMRF_2444_1_BM_CD138pos_pair
608	10	MMRF_2436_1_BM_CD138pos_pair
366	10	MMRF_1916_1_BM_CD138pos_pair
437	10	MMRF_2087_1_BM_CD138pos_pair
470	10	MMRF_2151_1_BM_CD138pos_pair
329	10	MMRF_1838_1_BM_CD138pos_pair
694	10	MMRF_2595_1_BM_CD138pos_pair
139	10	MMRF_1486_1_BM_CD138pos_pair
431	10	MMRF_2076_1_BM_CD138pos_pair
136	10	MMRF_1478_1_BM_CD138pos_pair
331	10	MMRF_1841_1_BM_CD138pos_pair
320	10	MMRF_1824_1_BM_CD138pos_pair
307	10	MMRF_1802_1_BM_CD138pos_pair
412	10	MMRF_2018_1_BM_CD138pos_pair
793	10	MMRF_2763_1_BM_CD138pos_pair
471	10	MMRF_2152_1_BM_CD138pos_pair
527	10	MMRF_2267_1_BM_CD138pos_pair
172	10	MMRF_1568_1_BM_CD138pos_pair
446	10	MMRF_2102_1_BM_CD138pos_pair
464	10	MMRF_2140_1_BM_CD138pos_pair
725	10	MMRF_2659_1_BM_CD138pos_pair
391	10	MMRF_1982_1_BM_CD138pos_pair
788	10	MMRF_2757_1_BM_CD138pos_pair
764	10	MMRF_2723_1_BM_CD138pos_pair
744	10	MMRF_2695_1_BM_CD138pos_pair
302	10	MMRF_1794_1_BM_CD138pos_pair
630	10	MMRF_2473_1_BM_CD138pos_pair
796	10	MMRF_2767_1_BM_CD138pos_pair
314	10	MMRF_1816_1_BM_CD138pos_pair
779	10	MMRF_2745_1_BM_CD138pos_pair
810	10	MMRF_2789_1_BM_CD138pos_pair
65	10	MMRF_1286_1_BM_CD138pos_pair
212	10	MMRF_1639_1_BM_CD138pos_pair
256	10	MMRF_1718_1_BM_CD138pos_pair
560	10	MMRF_2327_1_BM_CD138pos_pair
293	10	MMRF_1782_1_BM_CD138pos_pair
648	10	MMRF_2504_1_BM_CD138pos_pair
477	10	MMRF_2172_1_BM_CD138pos_pair
566	10	MMRF_2335_1_BM_CD138pos_pair
118	10	MMRF_1431_1_BM_CD138pos_pair
211	10	MMRF_1637_1_BM_CD138pos_pair
362	10	MMRF_1906_1_BM_CD138pos_pair
167	10	MMRF_1550_1_BM_CD138pos_pair
485	10	MMRF_2186_1_BM_CD138pos_pair
661	10	MMRF_2525_1_BM_CD138pos_pair
256	10	MMRF_1718_1_BM_CD138pos_pair
791	10	MMRF_2761_1_BM_CD138pos_pair
765	10	MMRF_2727_1_BM_CD138pos_pair
150	10	MMRF_1516_1_BM_CD138pos_pair
502	10	MMRF_2216_1_BM_CD138pos_pair
150	10	MMRF_1516_1_BM_CD138pos_pair
561	10	MMRF_2328_1_BM_CD138pos_pair
249	10	MMRF_1705_1_BM_CD138pos_pair
814	10	MMRF_2795_1_BM_CD138pos_pair
25	10	MMRF_1092_1_BM_CD138pos_pair
445	10	MMRF_2101_1_BM_CD138pos_pair
683	10	MMRF_2574_1_BM_CD138pos_pair
768	10	MMRF_2730_1_BM_CD138pos_pair
103	10	MMRF_1386_1_BM_CD138pos_pair
718	10	MMRF_2646_1_BM_CD138pos_pair
744	10	MMRF_2695_1_BM_CD138pos_pair
532	10	MMRF_2272_1_BM_CD138pos_pair
835	10	MMRF_2831_1_BM_CD138pos_pair
628	10	MMRF_2471_1_BM_CD138pos_pair
322	10	MMRF_1830_1_BM_CD138pos_pair
793	10	MMRF_2763_1_BM_CD138pos_pair
522	10	MMRF_2253_1_BM_CD138pos_pair
619	10	MMRF_2456_1_BM_CD138pos_pair
531	10	MMRF_2271_1_BM_CD138pos_pair
250	10	MMRF_1706_1_BM_CD138pos_pair
318	10	MMRF_1822_1_BM_CD138pos_pair
785	10	MMRF_2754_1_BM_CD138pos_pair
649	10	MMRF_2505_1_BM_CD138pos_pair
384	10	MMRF_1967_1_BM_CD138pos_pair
485	10	MMRF_2186_1_BM_CD138pos_pair
163	10	MMRF_1542_1_BM_CD138pos_pair
541	10	MMRF_2291_1_BM_CD138pos_pair
791	10	MMRF_2761_1_BM_CD138pos_pair
24	10	MMRF_1090_1_BM_CD138pos_pair
53	10	MMRF_1252_1_BM_CD138pos_pair
544	10	MMRF_2297_1_BM_CD138pos_pair
32	10	MMRF_1151_1_BM_CD138pos_pair
150	10	MMRF_1516_1_BM_CD138pos_pair
26	10	MMRF_1098_1_BM_CD138pos_pair
428	10	MMRF_2063_1_BM_CD138pos_pair
227	10	MMRF_1656_1_BM_CD138pos_pair
442	10	MMRF_2095_1_BM_CD138pos_pair
309	10	MMRF_1807_1_BM_CD138pos_pair
810	10	MMRF_2789_1_BM_CD138pos_pair
225	10	MMRF_1654_1_BM_CD138pos_pair
605	10	MMRF_2428_1_BM_CD138pos_pair
347	10	MMRF_1866_1_BM_CD138pos_pair
284	10	MMRF_1771_1_BM_CD138pos_pair
111	10	MMRF_1403_1_BM_CD138pos_pair
511	10	MMRF_2231_1_BM_CD138pos_pair
466	10	MMRF_2143_1_BM_CD138pos_pair
780	10	MMRF_2746_1_BM_CD138pos_pair
735	10	MMRF_2678_1_BM_CD138pos_pair
32	10	MMRF_1151_1_BM_CD138pos_pair
4	10	MMRF_1030_1_BM_CD138pos_pair
447	10	MMRF_2106_1_BM_CD138pos_pair
327	10	MMRF_1835_1_BM_CD138pos_pair
800	10	MMRF_2772_1_BM_CD138pos_pair
28	10	MMRF_1107_1_BM_CD138pos_pair
143	10	MMRF_1501_1_BM_CD138pos_pair
615	10	MMRF_2446_1_BM_CD138pos_pair
820	10	MMRF_2814_1_BM_CD138pos_pair
189	10	MMRF_1598_1_BM_CD138pos_pair
643	10	MMRF_2497_1_BM_CD138pos_pair
119	10	MMRF_1432_1_BM_CD138pos_pair
76	10	MMRF_1320_1_BM_CD138pos_pair
5	10	MMRF_1031_1_BM_CD138pos_pair
655	10	MMRF_2517_1_BM_CD138pos_pair
792	10	MMRF_2762_1_BM_CD138pos_pair
456	10	MMRF_2122_1_BM_CD138pos_pair
779	10	MMRF_2745_1_BM_CD138pos_pair
743	10	MMRF_2694_1_BM_CD138pos_pair
665	10	MMRF_2538_1_BM_CD138pos_pair
563	10	MMRF_2330_1_BM_CD138pos_pair
309	10	MMRF_1807_1_BM_CD138pos_pair
78	10	MMRF_1324_1_BM_CD138pos_pair
354	10	MMRF_1882_1_BM_CD138pos_pair
720	10	MMRF_2650_1_BM_CD138pos_pair
594	10	MMRF_2407_1_BM_CD138pos_pair
522	10	MMRF_2253_1_BM_CD138pos_pair
98	10	MMRF_1365_1_BM_CD138pos_pair
794	10	MMRF_2764_1_BM_CD138pos_pair
834	10	MMRF_2830_1_BM_CD138pos_pair
658	10	MMRF_2522_1_BM_CD138pos_pair
424	10	MMRF_2058_1_BM_CD138pos_pair
642	10	MMRF_2493_1_BM_CD138pos_pair
166	10	MMRF_1547_1_BM_CD138pos_pair
252	10	MMRF_1713_1_BM_CD138pos_pair
454	10	MMRF_2118_1_BM_CD138pos_pair
76	10	MMRF_1320_1_BM_CD138pos_pair
292	10	MMRF_1781_1_BM_CD138pos_pair
275	10	MMRF_1753_1_BM_CD138pos_pair
596	10	MMRF_2410_1_BM_CD138pos_pair
416	10	MMRF_2039_1_BM_CD138pos_pair
104	10	MMRF_1388_1_BM_CD138pos_pair
190	10	MMRF_1601_1_BM_CD138pos_pair
161	10	MMRF_1539_1_BM_CD138pos_pair
793	10	MMRF_2763_1_BM_CD138pos_pair
196	10	MMRF_1610_1_BM_CD138pos_pair
802	10	MMRF_2775_1_BM_CD138pos_pair
164	10	MMRF_1543_1_BM_CD138pos_pair
676	10	MMRF_2563_1_BM_CD138pos_pair
360	10	MMRF_1895_1_BM_CD138pos_pair
38	10	MMRF_1171_1_BM_CD138pos_pair
425	10	MMRF_2059_1_BM_CD138pos_pair
690	10	MMRF_2587_1_BM_CD138pos_pair
767	10	MMRF_2729_1_BM_CD138pos_pair
67	10	MMRF_1293_1_BM_CD138pos_pair
846	10	MMRF_2851_1_BM_CD138pos_pair
224	10	MMRF_1652_1_BM_CD138pos_pair
302	10	MMRF_1794_1_BM_CD138pos_pair
259	10	MMRF_1721_1_BM_CD138pos_pair
839	10	MMRF_2835_1_BM_CD138pos_pair
180	10	MMRF_1580_1_BM_CD138pos_pair
224	10	MMRF_1652_1_BM_CD138pos_pair
92	10	MMRF_1355_1_BM_CD138pos_pair
336	10	MMRF_1850_1_BM_CD138pos_pair
255	10	MMRF_1716_1_BM_CD138pos_pair
155	10	MMRF_1531_1_BM_CD138pos_pair
2	10	MMRF_1021_1_BM_CD138pos_pair
166	10	MMRF_1547_1_BM_CD138pos_pair
114	10	MMRF_1423_1_BM_CD138pos_pair
546	10	MMRF_2301_1_BM_CD138pos_pair
150	10	MMRF_1516_1_BM_CD138pos_pair
241	10	MMRF_1683_1_BM_CD138pos_pair
183	10	MMRF_1588_1_BM_CD138pos_pair
817	10	MMRF_2805_1_BM_CD138pos_pair
174	10	MMRF_1572_1_BM_CD138pos_pair
276	10	MMRF_1755_1_BM_CD138pos_pair
844	10	MMRF_2847_1_BM_CD138pos_pair
73	10	MMRF_1311_1_BM_CD138pos_pair
784	10	MMRF_2753_1_BM_CD138pos_pair
504	10	MMRF_2222_1_BM_CD138pos_pair
156	10	MMRF_1533_1_BM_CD138pos_pair
262	10	MMRF_1725_1_BM_CD138pos_pair
709	10	MMRF_2631_1_BM_CD138pos_pair
625	10	MMRF_2465_1_BM_CD138pos_pair
531	10	MMRF_2271_1_BM_CD138pos_pair
557	10	MMRF_2324_1_BM_CD138pos_pair
300	10	MMRF_1792_1_BM_CD138pos_pair
676	10	MMRF_2563_1_BM_CD138pos_pair
452	10	MMRF_2115_1_BM_CD138pos_pair
616	10	MMRF_2449_1_BM_CD138pos_pair
14	10	MMRF_1055_1_BM_CD138pos_pair
574	10	MMRF_2364_1_BM_CD138pos_pair
319	10	MMRF_1823_1_BM_CD138pos_pair
512	10	MMRF_2232_1_BM_CD138pos_pair
465	10	MMRF_2141_1_BM_CD138pos_pair
463	10	MMRF_2138_1_BM_CD138pos_pair
719	10	MMRF_2647_1_BM_CD138pos_pair
145	10	MMRF_1505_1_BM_CD138pos_pair
418	10	MMRF_2043_1_BM_CD138pos_pair
454	10	MMRF_2118_1_BM_CD138pos_pair
648	10	MMRF_2504_1_BM_CD138pos_pair
115	10	MMRF_1424_1_BM_CD138pos_pair
209	10	MMRF_1633_1_BM_CD138pos_pair
548	10	MMRF_2305_1_BM_CD138pos_pair
457	10	MMRF_2125_1_BM_CD138pos_pair
834	10	MMRF_2830_1_BM_CD138pos_pair
839	10	MMRF_2835_1_BM_CD138pos_pair
420	10	MMRF_2050_1_BM_CD138pos_pair
210	10	MMRF_1634_1_BM_CD138pos_pair
731	10	MMRF_2669_1_BM_CD138pos_pair
318	10	MMRF_1822_1_BM_CD138pos_pair
674	10	MMRF_2559_1_BM_CD138pos_pair
733	10	MMRF_2676_1_BM_CD138pos_pair
783	10	MMRF_2752_1_BM_CD138pos_pair
571	10	MMRF_2352_1_BM_CD138pos_pair
432	10	MMRF_2079_1_BM_CD138pos_pair
160	10	MMRF_1538_1_BM_CD138pos_pair
707	10	MMRF_2622_1_BM_CD138pos_pair
525	10	MMRF_2265_1_BM_CD138pos_pair
463	10	MMRF_2138_1_BM_CD138pos_pair
157	10	MMRF_1534_1_BM_CD138pos_pair
527	10	MMRF_2267_1_BM_CD138pos_pair
803	10	MMRF_2776_1_BM_CD138pos_pair
558	10	MMRF_2325_1_BM_CD138pos_pair
55	10	MMRF_1261_1_BM_CD138pos_pair
357	10	MMRF_1890_1_BM_CD138pos_pair
475	10	MMRF_2168_1_BM_CD138pos_pair
244	10	MMRF_1690_1_BM_CD138pos_pair
254	10	MMRF_1715_1_BM_CD138pos_pair
748	10	MMRF_2701_1_BM_CD138pos_pair
525	10	MMRF_2265_1_BM_CD138pos_pair
548	10	MMRF_2305_1_BM_CD138pos_pair
405	10	MMRF_2005_1_BM_CD138pos_pair
484	10	MMRF_2185_1_BM_CD138pos_pair
420	10	MMRF_2050_1_BM_CD138pos_pair
305	10	MMRF_1797_1_BM_CD138pos_pair
673	10	MMRF_2557_1_BM_CD138pos_pair
450	10	MMRF_2112_1_BM_CD138pos_pair
428	10	MMRF_2063_1_BM_CD138pos_pair
718	10	MMRF_2646_1_BM_CD138pos_pair
102	10	MMRF_1383_1_BM_CD138pos_pair
445	10	MMRF_2101_1_BM_CD138pos_pair
348	10	MMRF_1867_1_BM_CD138pos_pair
98	10	MMRF_1365_1_BM_CD138pos_pair
348	10	MMRF_1867_1_BM_CD138pos_pair
223	10	MMRF_1651_1_BM_CD138pos_pair
395	10	MMRF_1991_1_BM_CD138pos_pair
79	10	MMRF_1325_1_BM_CD138pos_pair
676	10	MMRF_2563_1_BM_CD138pos_pair
423	10	MMRF_2056_1_BM_CD138pos_pair
341	10	MMRF_1858_1_BM_CD138pos_pair
71	10	MMRF_1308_1_BM_CD138pos_pair
571	10	MMRF_2352_1_BM_CD138pos_pair
456	10	MMRF_2122_1_BM_CD138pos_pair
363	10	MMRF_1908_1_BM_CD138pos_pair
448	10	MMRF_2107_1_BM_CD138pos_pair
783	10	MMRF_2752_1_BM_CD138pos_pair
144	10	MMRF_1502_1_BM_CD138pos_pair
381	10	MMRF_1960_1_BM_CD138pos_pair
312	10	MMRF_1814_1_BM_CD138pos_pair
96	10	MMRF_1360_1_BM_CD138pos_pair
353	10	MMRF_1881_1_BM_CD138pos_pair
288	10	MMRF_1775_1_BM_CD138pos_pair
579	10	MMRF_2373_1_BM_CD138pos_pair
366	10	MMRF_1916_1_BM_CD138pos_pair
477	10	MMRF_2172_1_BM_CD138pos_pair
458	10	MMRF_2126_1_BM_CD138pos_pair
225	10	MMRF_1654_1_BM_CD138pos_pair
299	10	MMRF_1790_1_BM_CD138pos_pair
110	10	MMRF_1401_1_BM_CD138pos_pair
794	10	MMRF_2764_1_BM_CD138pos_pair
815	10	MMRF_2799_1_BM_CD138pos_pair
660	10	MMRF_2524_1_BM_CD138pos_pair
115	10	MMRF_1424_1_BM_CD138pos_pair
155	10	MMRF_1531_1_BM_CD138pos_pair
587	10	MMRF_2388_1_BM_CD138pos_pair
274	10	MMRF_1750_1_BM_CD138pos_pair
697	10	MMRF_2598_1_BM_CD138pos_pair
171	10	MMRF_1565_1_BM_CD138pos_pair
777	10	MMRF_2742_1_BM_CD138pos_pair
