sample	variable	value	purity	thresh	call	chrarm	CI95	HD_chr
SCI001	amp_chr_18q	0	0.99	0.05050505050505051	0	chr_18q	0.0018	no
SCI001	amp_chr_19p	-999	0.99	0.05050505050505051	-999	chr_19p	0.0057	yes
SCI001	amp_chr_19q	-999	0.99	0.05050505050505051	-999	chr_19q	0.0041	yes
SCI001	amp_chr_20p	0	0.99	0.05050505050505051	0	chr_20p	0.0016	no
SCI001	amp_chr_20q	0	0.99	0.05050505050505051	0	chr_20q	0.0027	no
SCI001	amp_chr_21q	0	0.99	0.05050505050505051	0	chr_21q	0.0019	yes
SCI001	amp_chr_22q	0	0.99	0.05050505050505051	0	chr_22q	0.0017	no
SCI001	del_chr_1p_CDKN2C	0.975	0.99	0.05050505050505051	1	chr_1p_CDKN2C	0.0015	no
SCI001	del_chr_1p_EVI5	0.966	0.99	0.05050505050505051	1	chr_1p_EVI5	0.001	no
SCI001	del_chr_1p_TENT5C	0	0.99	0.05050505050505051	0	chr_1p_TENT5C	0.0022	no
SCI001	del_chr_1q	0	0.99	0.05050505050505051	0	chr_1q	0.0015	no
SCI001	del_chr_2p	0	0.99	0.05050505050505051	0	chr_2p	0.0017	no
SCI001	del_chr_2q	0	0.99	0.05050505050505051	0	chr_2q	9e-4	no
SCI001	del_chr_3p	0.023	0.99	0.05050505050505051	0	chr_3p	8e-4	no
SCI001	del_chr_3q	0.022	0.99	0.05050505050505051	0	chr_3q	0.001	no
SCI001	del_chr_4p	0	0.99	0.05050505050505051	0	chr_4p	0.001	no
SCI001	del_chr_4q	0	0.99	0.05050505050505051	0	chr_4q	0.0012	no
SCI001	del_chr_5p	0	0.99	0.05050505050505051	0	chr_5p	0.0027	no
SCI001	del_chr_5q	0	0.99	0.05050505050505051	0	chr_5q	0.0023	no
SCI001	del_chr_6p	0	0.99	0.05050505050505051	0	chr_6p	0.0019	no
SCI001	del_chr_6q	0	0.99	0.05050505050505051	0	chr_6q	0.001	no
SCI001	del_chr_7p	0	0.99	0.05050505050505051	0	chr_7p	0.0021	no
SCI001	del_chr_7q	0	0.99	0.05050505050505051	0	chr_7q	0.0023	no
SCI001	del_chr_8p	0	0.99	0.05050505050505051	0	chr_8p	0.0025	no
SCI001	del_chr_8q	0	0.99	0.05050505050505051	0	chr_8q	9e-4	no
SCI001	del_chr_9p	0	0.99	0.05050505050505051	0	chr_9p	0.001	no
SCI001	del_chr_9q	0	0.99	0.05050505050505051	0	chr_9q	0.001	no
SCI001	del_chr_10p	0	0.99	0.05050505050505051	0	chr_10p	0.002	no
SCI001	del_chr_10q_NFKB2	0	0.99	0.05050505050505051	0	chr_10q_NFKB2	0.0011	no
SCI001	del_chr_11p	0.051	0.99	0.05050505050505051	1	chr_11p	9e-4	no
SCI001	del_chr_11q_BIRC2	0.037	0.99	0.05050505050505051	0	chr_11q_BIRC2	9e-4	no
SCI001	del_chr_12p	0.049	0.99	0.05050505050505051	0	chr_12p	0.0013	no
SCI001	del_chr_12q	0.05	0.99	0.05050505050505051	0	chr_12q	0.0013	no
SCI001	del_chr_13q_RB1	0.966	0.99	0.05050505050505051	1	chr_13q_RB1	6e-4	no
SCI001	del_chr_14q_MAX	0	0.99	0.05050505050505051	0	chr_14q_MAX	0.0012	no
SCI001	del_chr_14q_TRAF3	0	0.99	0.05050505050505051	0	chr_14q_TRAF3	0.0012	no
SCI001	del_chr_15q	0	0.99	0.05050505050505051	0	chr_15q	0.0024	no
SCI001	del_chr_16p	0.005	0.99	0.05050505050505051	0	chr_16p	0.0019	no
SCI001	del_chr_16q_CYLD	0	0.99	0.05050505050505051	0	chr_16q_CYLD	0.0022	no
SCI001	del_chr_17p_TP53	0	0.99	0.05050505050505051	0	chr_17p_TP53	0.0017	no
SCI001	del_chr_17q	0.027	0.99	0.05050505050505051	0	chr_17q	0.0023	no
SCI001	del_chr_18p	0.036	0.99	0.05050505050505051	0	chr_18p	0.0016	no
SCI001	del_chr_18q	0.038	0.99	0.05050505050505051	0	chr_18q	0.0018	no
SCI001	del_chr_19p	0	0.99	0.05050505050505051	0	chr_19p	0.0057	no
SCI001	del_chr_19q	0	0.99	0.05050505050505051	0	chr_19q	0.0041	no
SCI001	del_chr_20p	0.999	0.99	0.05050505050505051	1	chr_20p	0.0016	no
SCI001	del_chr_20q	0.015	0.99	0.05050505050505051	0	chr_20q	0.0027	no
SCI001	del_chr_21q	0.033	0.99	0.05050505050505051	0	chr_21q	0.0019	no
SCI001	del_chr_22q	0.015	0.99	0.05050505050505051	0	chr_22q	0.0017	no
SCI001	HyperDiploidy	0.943	0.99	0.05050505050505051	1	NA	0.0024	NA
SCI002	amp_chr_1p_NOTCH2	0.001	0.71	0.07042253521126761	0	chr_1p_NOTCH2	5e-4	no
SCI002	amp_chr_1q_CKS1B	0.001	0.71	0.07042253521126761	0	chr_1q_CKS1B	5e-4	no
SCI002	amp_chr_2p	0.01	0.71	0.07042253521126761	0	chr_2p	8e-4	no
SCI002	amp_chr_2q	0.018	0.71	0.07042253521126761	0	chr_2q	6e-4	no
SCI002	amp_chr_3p	0.02	0.71	0.07042253521126761	0	chr_3p	0.0011	yes
SCI002	amp_chr_3q	0.019	0.71	0.07042253521126761	0	chr_3q	8e-4	yes
SCI002	amp_chr_4p	0.018	0.71	0.07042253521126761	0	chr_4p	0.0011	no
SCI002	amp_chr_4q	0.019	0.71	0.07042253521126761	0	chr_4q	7e-4	no
SCI002	amp_chr_5p	0.013	0.71	0.07042253521126761	0	chr_5p	0.0014	yes
SCI002	amp_chr_5q	0.014	0.71	0.07042253521126761	0	chr_5q	7e-4	yes
SCI002	amp_chr_6p	0.013	0.71	0.07042253521126761	0	chr_6p	6e-4	no
SCI002	amp_chr_6q	0.013	0.71	0.07042253521126761	0	chr_6q	6e-4	no
SCI002	amp_chr_7p	0.019	0.71	0.07042253521126761	0	chr_7p	9e-4	yes
SCI002	amp_chr_7q	0.018	0.71	0.07042253521126761	0	chr_7q	9e-4	yes
SCI002	amp_chr_8p	0.007	0.71	0.07042253521126761	0	chr_8p	6e-4	no
SCI002	amp_chr_8q_MYC	0	0.71	0.07042253521126761	0	chr_8q_MYC	6e-4	no
SCI002	amp_chr_8q_MYC_enhancer	0	0.71	0.07042253521126761	0	chr_8q_MYC_enhancer	6e-4	no
SCI002	amp_chr_9p	0.017	0.71	0.07042253521126761	0	chr_9p	0.0015	yes
SCI002	amp_chr_9q	0.025	0.71	0.07042253521126761	0	chr_9q	0.0013	yes
SCI002	amp_chr_10p	0.02	0.71	0.07042253521126761	0	chr_10p	7e-4	no
SCI002	amp_chr_10q	0.02	0.71	0.07042253521126761	0	chr_10q	7e-4	no
SCI002	amp_chr_11p	0.014	0.71	0.07042253521126761	0	chr_11p	0.0012	yes
SCI002	amp_chr_11q_CCND1	0	0.71	0.07042253521126761	0	chr_11q_CCND1	8e-4	yes
SCI002	amp_chr_12p	0	0.71	0.07042253521126761	0	chr_12p	7e-4	no
SCI002	amp_chr_12q	0	0.71	0.07042253521126761	0	chr_12q	7e-4	no
SCI002	amp_chr_13q	0.01	0.71	0.07042253521126761	0	chr_13q	8e-4	no
SCI002	amp_chr_14q	0.003	0.71	0.07042253521126761	0	chr_14q	0.001	no
SCI002	amp_chr_15q	0.02	0.71	0.07042253521126761	0	chr_15q	8e-4	yes
SCI002	amp_chr_16p	0.029	0.71	0.07042253521126761	0	chr_16p	0.0021	no
SCI002	amp_chr_16q	0.001	0.71	0.07042253521126761	0	chr_16q	0.0019	no
SCI002	amp_chr_17p	0.03	0.71	0.07042253521126761	0	chr_17p	0.0011	no
SCI002	amp_chr_17q	0.027	0.71	0.07042253521126761	0	chr_17q	0.0013	no
SCI002	amp_chr_18p	0	0.71	0.07042253521126761	0	chr_18p	9e-4	no
SCI002	amp_chr_18q	0	0.71	0.07042253521126761	0	chr_18q	9e-4	no
SCI002	amp_chr_19p	0.013	0.71	0.07042253521126761	0	chr_19p	0.0015	yes
SCI002	amp_chr_19q	0.019	0.71	0.07042253521126761	0	chr_19q	0.0012	yes
SCI002	amp_chr_20p	0.009	0.71	0.07042253521126761	0	chr_20p	0.0014	no
SCI002	amp_chr_20q	0.019	0.71	0.07042253521126761	0	chr_20q	0.0014	no
SCI002	amp_chr_21q	0.025	0.71	0.07042253521126761	0	chr_21q	0.0014	yes
SCI002	amp_chr_22q	0.027	0.71	0.07042253521126761	0	chr_22q	0.0012	no
SCI002	del_chr_1p_CDKN2C	0	0.71	0.07042253521126761	0	chr_1p_CDKN2C	5e-4	no
SCI002	del_chr_1p_EVI5	0	0.71	0.07042253521126761	0	chr_1p_EVI5	5e-4	no
SCI002	del_chr_1p_TENT5C	0	0.71	0.07042253521126761	0	chr_1p_TENT5C	5e-4	no
SCI002	del_chr_1q	0	0.71	0.07042253521126761	0	chr_1q	5e-4	no
SCI002	del_chr_2p	0	0.71	0.07042253521126761	0	chr_2p	8e-4	no
SCI002	del_chr_2q	0	0.71	0.07042253521126761	0	chr_2q	6e-4	no
SCI002	del_chr_3p	0	0.71	0.07042253521126761	0	chr_3p	0.0011	no
SCI002	del_chr_3q	0	0.71	0.07042253521126761	0	chr_3q	8e-4	no
SCI002	del_chr_4p	0	0.71	0.07042253521126761	0	chr_4p	0.0011	no
SCI002	del_chr_4q	0	0.71	0.07042253521126761	0	chr_4q	7e-4	no
SCI002	del_chr_5p	0	0.71	0.07042253521126761	0	chr_5p	0.0014	no
SCI002	del_chr_5q	0	0.71	0.07042253521126761	0	chr_5q	7e-4	no
SCI002	del_chr_6p	0	0.71	0.07042253521126761	0	chr_6p	6e-4	no
SCI002	del_chr_6q	0	0.71	0.07042253521126761	0	chr_6q	6e-4	no
SCI002	del_chr_7p	0	0.71	0.07042253521126761	0	chr_7p	9e-4	no
SCI002	del_chr_7q	0	0.71	0.07042253521126761	0	chr_7q	9e-4	no
SCI002	del_chr_8p	0	0.71	0.07042253521126761	0	chr_8p	6e-4	no
SCI002	del_chr_8q	0	0.71	0.07042253521126761	0	chr_8q	6e-4	no
SCI002	del_chr_9p	0	0.71	0.07042253521126761	0	chr_9p	0.0015	no
SCI002	del_chr_9q	0	0.71	0.07042253521126761	0	chr_9q	0.0013	no
SCI002	del_chr_10p	0	0.71	0.07042253521126761	0	chr_10p	7e-4	no
SCI002	del_chr_10q_NFKB2	0	0.71	0.07042253521126761	0	chr_10q_NFKB2	7e-4	no
SCI002	del_chr_11p	0	0.71	0.07042253521126761	0	chr_11p	0.0012	no
SCI002	del_chr_11q_BIRC2	0.002	0.71	0.07042253521126761	0	chr_11q_BIRC2	8e-4	no
SCI002	del_chr_12p	0.012	0.71	0.07042253521126761	0	chr_12p	7e-4	no
SCI002	del_chr_12q	0.012	0.71	0.07042253521126761	0	chr_12q	7e-4	no
SCI002	del_chr_13q_RB1	0.009	0.71	0.07042253521126761	0	chr_13q_RB1	8e-4	no
SCI002	del_chr_14q_MAX	0	0.71	0.07042253521126761	0	chr_14q_MAX	8e-4	no
SCI002	del_chr_14q_TRAF3	0	0.71	0.07042253521126761	0	chr_14q_TRAF3	8e-4	no
SCI002	del_chr_15q	0	0.71	0.07042253521126761	0	chr_15q	8e-4	no
SCI002	del_chr_16p	0	0.71	0.07042253521126761	0	chr_16p	0.0021	no
SCI002	del_chr_16q_CYLD	0.018	0.71	0.07042253521126761	0	chr_16q_CYLD	0.0015	no
SCI002	del_chr_17p_TP53	0	0.71	0.07042253521126761	0	chr_17p_TP53	0.0011	no
SCI002	del_chr_17q	0	0.71	0.07042253521126761	0	chr_17q	0.0013	no
SCI002	del_chr_18p	0.016	0.71	0.07042253521126761	0	chr_18p	9e-4	no
SCI002	del_chr_18q	0.016	0.71	0.07042253521126761	0	chr_18q	9e-4	no
SCI002	del_chr_19p	0	0.71	0.07042253521126761	0	chr_19p	0.0015	no
SCI002	del_chr_19q	0	0.71	0.07042253521126761	0	chr_19q	0.0012	no
SCI002	del_chr_20p	0	0.71	0.07042253521126761	0	chr_20p	0.0014	no
SCI002	del_chr_20q	0	0.71	0.07042253521126761	0	chr_20q	0.0014	no
SCI002	del_chr_21q	0	0.71	0.07042253521126761	0	chr_21q	0.0014	no
SCI002	del_chr_22q	0	0.71	0.07042253521126761	0	chr_22q	0.0012	no
SCI002	HyperDiploidy	0	0.71	0.07042253521126761	0	NA	0.0024	NA
SCI003	amp_chr_1p_NOTCH2	0.022	0.43	0.11627906976744187	0	chr_1p_NOTCH2	7e-4	no
SCI003	amp_chr_1q_CKS1B	0.091	0.43	0.11627906976744187	0	chr_1q_CKS1B	8e-4	no
SCI003	amp_chr_2p	0.014	0.43	0.11627906976744187	0	chr_2p	0.001	no
SCI003	amp_chr_2q	0	0.43	0.11627906976744187	0	chr_2q	7e-4	no
SCI003	amp_chr_3p	0	0.43	0.11627906976744187	0	chr_3p	6e-4	yes
SCI003	amp_chr_3q	0	0.43	0.11627906976744187	0	chr_3q	6e-4	yes
SCI003	amp_chr_4p	0.012	0.43	0.11627906976744187	0	chr_4p	7e-4	no
SCI003	amp_chr_4q	0.013	0.43	0.11627906976744187	0	chr_4q	6e-4	no
SCI003	amp_chr_5p	0.011	0.43	0.11627906976744187	0	chr_5p	0.0012	yes
SCI003	amp_chr_5q	0	0.43	0.11627906976744187	0	chr_5q	7e-4	yes
SCI003	amp_chr_6p	0.001	0.43	0.11627906976744187	0	chr_6p	6e-4	no
SCI003	amp_chr_6q	0.001	0.43	0.11627906976744187	0	chr_6q	6e-4	no
SCI003	amp_chr_7p	0	0.43	0.11627906976744187	0	chr_7p	9e-4	yes
SCI003	amp_chr_7q	0	0.43	0.11627906976744187	0	chr_7q	9e-4	yes
SCI003	amp_chr_8p	0.006	0.43	0.11627906976744187	0	chr_8p	6e-4	no
SCI003	amp_chr_8q_MYC	0.004	0.43	0.11627906976744187	0	chr_8q_MYC	6e-4	no
SCI003	amp_chr_8q_MYC_enhancer	0.004	0.43	0.11627906976744187	0	chr_8q_MYC_enhancer	6e-4	no
SCI003	amp_chr_9p	0	0.43	0.11627906976744187	0	chr_9p	0.0019	yes
SCI003	amp_chr_9q	0.239	0.43	0.11627906976744187	1	chr_9q	9e-4	yes
SCI003	amp_chr_10p	0.036	0.43	0.11627906976744187	0	chr_10p	7e-4	no
SCI003	amp_chr_10q	0.036	0.43	0.11627906976744187	0	chr_10q	7e-4	no
SCI003	amp_chr_11p	0	0.43	0.11627906976744187	0	chr_11p	9e-4	yes
SCI003	amp_chr_11q_CCND1	0	0.43	0.11627906976744187	0	chr_11q_CCND1	9e-4	yes
SCI003	amp_chr_12p	0	0.43	0.11627906976744187	0	chr_12p	0.0015	no
SCI003	amp_chr_12q	0	0.43	0.11627906976744187	0	chr_12q	0.0011	no
SCI003	amp_chr_13q	0	0.43	0.11627906976744187	0	chr_13q	6e-4	no
SCI003	amp_chr_14q	0.002	0.43	0.11627906976744187	0	chr_14q	0.001	no
SCI003	amp_chr_15q	0	0.43	0.11627906976744187	0	chr_15q	0.0018	yes
SCI003	amp_chr_16p	0.026	0.43	0.11627906976744187	0	chr_16p	0.0018	no
SCI003	amp_chr_16q	0	0.43	0.11627906976744187	0	chr_16q	0.0016	no
SCI003	amp_chr_17p	0.023	0.43	0.11627906976744187	0	chr_17p	0.0013	no
SCI003	amp_chr_17q	0.014	0.43	0.11627906976744187	0	chr_17q	0.0012	no
SCI003	amp_chr_18p	0	0.43	0.11627906976744187	0	chr_18p	9e-4	no
SCI003	amp_chr_18q	0	0.43	0.11627906976744187	0	chr_18q	9e-4	no
SCI003	amp_chr_19p	1	0.43	0.11627906976744187	1	chr_19p	0.0021	yes
SCI003	amp_chr_19q	0	0.43	0.11627906976744187	0	chr_19q	0.0018	yes
SCI003	amp_chr_20p	0.027	0.43	0.11627906976744187	0	chr_20p	0.0014	no
SCI003	amp_chr_20q	0.018	0.43	0.11627906976744187	0	chr_20q	0.0014	no
SCI003	amp_chr_21q	0	0.43	0.11627906976744187	0	chr_21q	0.0014	yes
SCI003	amp_chr_22q	0.01	0.43	0.11627906976744187	0	chr_22q	0.0012	no
SCI003	del_chr_1p_CDKN2C	0	0.43	0.11627906976744187	0	chr_1p_CDKN2C	7e-4	no
SCI003	del_chr_1p_EVI5	0	0.43	0.11627906976744187	0	chr_1p_EVI5	7e-4	no
SCI003	del_chr_1p_TENT5C	0	0.43	0.11627906976744187	0	chr_1p_TENT5C	7e-4	no
SCI003	del_chr_1q	0	0.43	0.11627906976744187	0	chr_1q	8e-4	no
SCI003	del_chr_2p	0	0.43	0.11627906976744187	0	chr_2p	0.001	no
SCI003	del_chr_2q	0	0.43	0.11627906976744187	0	chr_2q	7e-4	no
SCI003	del_chr_3p	0.004	0.43	0.11627906976744187	0	chr_3p	6e-4	no
SCI003	del_chr_3q	0.004	0.43	0.11627906976744187	0	chr_3q	6e-4	no
SCI003	del_chr_4p	0	0.43	0.11627906976744187	0	chr_4p	7e-4	no
SCI003	del_chr_4q	0	0.43	0.11627906976744187	0	chr_4q	6e-4	no
SCI003	del_chr_5p	0	0.43	0.11627906976744187	0	chr_5p	0.0012	no
SCI003	del_chr_5q	0.004	0.43	0.11627906976744187	0	chr_5q	7e-4	no
SCI003	del_chr_6p	0	0.43	0.11627906976744187	0	chr_6p	6e-4	no
SCI003	del_chr_6q	0	0.43	0.11627906976744187	0	chr_6q	6e-4	no
SCI003	del_chr_7p	0.036	0.43	0.11627906976744187	0	chr_7p	9e-4	no
SCI003	del_chr_7q	0.02	0.43	0.11627906976744187	0	chr_7q	9e-4	no
SCI003	del_chr_8p	0	0.43	0.11627906976744187	0	chr_8p	6e-4	no
SCI003	del_chr_8q	0	0.43	0.11627906976744187	0	chr_8q	6e-4	no
SCI003	del_chr_9p	0.002	0.43	0.11627906976744187	0	chr_9p	0.0019	no
SCI003	del_chr_9q	0	0.43	0.11627906976744187	0	chr_9q	9e-4	no
SCI003	del_chr_10p	0	0.43	0.11627906976744187	0	chr_10p	7e-4	no
SCI003	del_chr_10q_NFKB2	0	0.43	0.11627906976744187	0	chr_10q_NFKB2	7e-4	no
SCI003	del_chr_11p	0.001	0.43	0.11627906976744187	0	chr_11p	9e-4	no
SCI003	del_chr_11q_BIRC2	0	0.43	0.11627906976744187	0	chr_11q_BIRC2	0.0012	no
SCI003	del_chr_12p	0.083	0.43	0.11627906976744187	0	chr_12p	0.0015	no
SCI003	del_chr_12q	0.084	0.43	0.11627906976744187	0	chr_12q	0.0011	no
SCI003	del_chr_13q_RB1	1	0.43	0.11627906976744187	1	chr_13q_RB1	6e-4	no
SCI003	del_chr_14q_MAX	0	0.43	0.11627906976744187	0	chr_14q_MAX	8e-4	no
SCI003	del_chr_14q_TRAF3	0	0.43	0.11627906976744187	0	chr_14q_TRAF3	8e-4	no
SCI003	del_chr_15q	0.788	0.43	0.11627906976744187	1	chr_15q	0.0018	no
SCI003	del_chr_16p	0	0.43	0.11627906976744187	0	chr_16p	0.0018	no
SCI003	del_chr_16q_CYLD	0.004	0.43	0.11627906976744187	0	chr_16q_CYLD	0.0014	no
SCI003	del_chr_17p_TP53	0	0.43	0.11627906976744187	0	chr_17p_TP53	0.0013	no
SCI003	del_chr_17q	0	0.43	0.11627906976744187	0	chr_17q	0.0012	no
SCI003	del_chr_18p	0.038	0.43	0.11627906976744187	0	chr_18p	9e-4	no
SCI003	del_chr_18q	0.038	0.43	0.11627906976744187	0	chr_18q	9e-4	no
SCI003	del_chr_19p	0	0.43	0.11627906976744187	0	chr_19p	0.0021	no
SCI003	del_chr_19q	0.085	0.43	0.11627906976744187	0	chr_19q	0.0018	no
SCI003	del_chr_20p	0	0.43	0.11627906976744187	0	chr_20p	0.0014	no
SCI003	del_chr_20q	0	0.43	0.11627906976744187	0	chr_20q	0.0014	no
SCI003	del_chr_21q	0.002	0.43	0.11627906976744187	0	chr_21q	0.0014	no
SCI003	del_chr_22q	0	0.43	0.11627906976744187	0	chr_22q	0.0012	no
SCI003	HyperDiploidy	0	0.43	0.11627906976744187	0	NA	0.0024	NA
SCI004	amp_chr_1p_NOTCH2	0	0.85	0.05882352941176471	0	chr_1p_NOTCH2	0.0011	no
SCI004	amp_chr_1q_CKS1B	0	0.85	0.05882352941176471	0	chr_1q_CKS1B	0.0012	no
SCI004	amp_chr_2p	0	0.85	0.05882352941176471	0	chr_2p	0.0012	no
SCI004	amp_chr_2q	0	0.85	0.05882352941176471	0	chr_2q	0.001	no
SCI004	amp_chr_3p	-999	0.85	0.05882352941176471	-999	chr_3p	0.0012	yes
SCI004	amp_chr_3q	-999	0.85	0.05882352941176471	-999	chr_3q	0.0012	yes
SCI004	amp_chr_4p	0	0.85	0.05882352941176471	0	chr_4p	0.0018	no
SCI004	amp_chr_4q	0	0.85	0.05882352941176471	0	chr_4q	0.0024	no
SCI004	amp_chr_5p	-999	0.85	0.05882352941176471	-999	chr_5p	0.0025	yes
SCI004	amp_chr_5q	-999	0.85	0.05882352941176471	-999	chr_5q	0.0016	yes
SCI004	amp_chr_6p	1	0.85	0.05882352941176471	1	chr_6p	0.0029	no
SCI004	amp_chr_6q	0.137	0.85	0.05882352941176471	1	chr_6q	0.0024	no
SCI004	amp_chr_7p	0.01	0.85	0.05882352941176471	0	chr_7p	0.0015	yes
SCI004	amp_chr_7q	0.008	0.85	0.05882352941176471	0	chr_7q	0.001	yes
SCI004	amp_chr_8p	0	0.85	0.05882352941176471	0	chr_8p	0.002	no
SCI004	amp_chr_8q_MYC	0.028	0.85	0.05882352941176471	0	chr_8q_MYC	0.0021	no
SCI004	amp_chr_8q_MYC_enhancer	0.028	0.85	0.05882352941176471	0	chr_8q_MYC_enhancer	0.0021	no
SCI004	amp_chr_9p	-999	0.85	0.05882352941176471	-999	chr_9p	0.0038	yes
SCI004	amp_chr_9q	-999	0.85	0.05882352941176471	-999	chr_9q	0.0069	yes
SCI004	amp_chr_10p	0	0.85	0.05882352941176471	0	chr_10p	0.0019	no
SCI004	amp_chr_10q	0	0.85	0.05882352941176471	0	chr_10q	0.0013	no
SCI004	amp_chr_11p	-999	0.85	0.05882352941176471	-999	chr_11p	0.0015	yes
SCI004	amp_chr_11q_CCND1	-999	0.85	0.05882352941176471	-999	chr_11q_CCND1	0.0015	yes
SCI004	amp_chr_12p	0	0.85	0.05882352941176471	0	chr_12p	0.001	no
SCI004	amp_chr_12q	0	0.85	0.05882352941176471	0	chr_12q	0.001	no
SCI004	amp_chr_13q	0	0.85	0.05882352941176471	0	chr_13q	0.0013	no
SCI004	amp_chr_14q	0.006	0.85	0.05882352941176471	0	chr_14q	0.0016	no
SCI004	amp_chr_15q	-999	0.85	0.05882352941176471	-999	chr_15q	0.0032	yes
SCI004	amp_chr_16p	0.005	0.85	0.05882352941176471	0	chr_16p	0.0051	no
SCI004	amp_chr_16q	0.086	0.85	0.05882352941176471	1	chr_16q	0.0026	no
SCI004	amp_chr_17p	0	0.85	0.05882352941176471	0	chr_17p	0.0013	no
SCI004	amp_chr_17q	0	0.85	0.05882352941176471	0	chr_17q	0.0013	no
SCI004	amp_chr_18p	0.008	0.85	0.05882352941176471	0	chr_18p	0.0015	no
SCI004	amp_chr_18q	0.005	0.85	0.05882352941176471	0	chr_18q	0.0019	no
SCI004	amp_chr_19p	-999	0.85	0.05882352941176471	-999	chr_19p	0.0035	yes
SCI004	amp_chr_19q	-999	0.85	0.05882352941176471	-999	chr_19q	0.003	yes
SCI004	amp_chr_20p	0	0.85	0.05882352941176471	0	chr_20p	0.0022	no
SCI004	amp_chr_20q	0	0.85	0.05882352941176471	0	chr_20q	0.0021	no
SCI004	amp_chr_21q	0	0.85	0.05882352941176471	0	chr_21q	0.0021	yes
SCI004	amp_chr_22q	0	0.85	0.05882352941176471	0	chr_22q	0.0019	no
SCI004	del_chr_1p_CDKN2C	0.046	0.85	0.05882352941176471	0	chr_1p_CDKN2C	0.0011	no
SCI004	del_chr_1p_EVI5	0.046	0.85	0.05882352941176471	0	chr_1p_EVI5	0.0011	no
SCI004	del_chr_1p_TENT5C	0.046	0.85	0.05882352941176471	0	chr_1p_TENT5C	0.0011	no
SCI004	del_chr_1q	0.049	0.85	0.05882352941176471	0	chr_1q	0.0012	no
SCI004	del_chr_2p	0.031	0.85	0.05882352941176471	0	chr_2p	0.0012	no
SCI004	del_chr_2q	0.014	0.85	0.05882352941176471	0	chr_2q	0.001	no
SCI004	del_chr_3p	0	0.85	0.05882352941176471	0	chr_3p	0.0012	no
SCI004	del_chr_3q	0	0.85	0.05882352941176471	0	chr_3q	0.0012	no
SCI004	del_chr_4p	0.02	0.85	0.05882352941176471	0	chr_4p	0.0018	no
