sample	amp_chr_1p	amp_chr_1q_MCL1	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q_TERC	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC_amp	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p_BCMA	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q_SP140	del_chr_3p	del_chr_3q_BCL6	del_chr_4p_NSD2	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q_MYC_del	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q	del_chr_14q_MAX	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q_XBP1
SCI012	0	0	0	0	0.956	0.956	0.44	0.454	0.948	1	0.01	0.01	0	0	0	0	0.97	0.984	0.001	0	0.875	0.882	0	0	0.003	0	0.968	0.022	0.092	0	0	0.006	0.006	0.99	0.994	0	0	0	0	0.027	0.027	0.027	0.027	0.01	0.002	0	0	0	0	0	0	0	0	0.057	0.057	0.003	0.003	0	0	0	0.009	0	0	0.04	0.04	0	0	0	0	0	0.025	0.025	0	0	0	0	0.03	0.01	0.042	0.004
SCI013	0.018	0.423	0	0.003	0.027	0.027	1	1	1	1	0	0	0.958	0.97	0.013	0.013	1	1	0.011	0	0	0.972	0	0	0.026	1	0.983	0.029	0	1	1	1	1	0.891	0.891	0.03	0.034	1	0	0	0	0.575	0	0.004	0	0	0	0	0	0	0	0.011	0.005	0	0	0	0	0	0	0	0.003	0.036	0	0.042	0.042	0	0	0	0	0.127	0	0	0	0	0	0	0	0	0	0.585
SCI014	0	0	0.001	0.001	0.048	0.048	0.003	0.022	0.883	0.955	0.008	0.035	0	0	0.014	0.014	0.918	0.899	0.002	0.001	0.835	0.835	0	0	0	0.016	1	0.009	0.073	0	0	0	0	0.824	0.807	0	0	0.006	0	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0.038	0.038	0	0	0	0	0	0	0	0	0.064	0.064	0.988	0	0	0	0	0.026	0.026	0.021	0.021	0	0	0.979	0.98	0	0.011
SCI015	0.004	0.538	0	0	0	0	0.022	0.016	0.008	0	0	0	0.003	0.003	0	0	0	0.008	0.022	0	0	0	0	0	0	0.016	0	0.009	0.009	0.003	0.003	0	0	0.018	0.02	0.003	0.003	0.089	0	0.008	0.008	0.008	0	0.014	0.005	0.013	0.011	0	0	0	0.006	0.003	0.003	0	0	0.001	0.001	0.029	0	0	0.011	0.018	0.018	0.047	0.047	0.766	0	0	0	0	0	0	0.043	0.043	0	0	0	0	0	0.061
SCI016	0.156	0.156	0.266	0.297	0.967	0.998	0.365	0.418	1	1	0	0	1	1	0	0.173	1	1	0.091	0.091	1	1	0.051	0.051	0.035	0.112	1	0.142	0.142	0.273	0.974	0.188	0.188	1	1	0.023	0.023	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.595	0	0	0.639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007
SCI017	0.024	0.063	0.031	0.03	0.01	0.01	0.039	0.039	0.02	0.024	0.014	0.014	0.027	0.027	0.029	0.029	0.032	0.059	0.027	0.027	0	0	0	0	0	0.009	0.001	0.018	0	0.037	0.02	0.013	0.013	0	0	0.02	0.02	0.025	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0.003	0.001	0.006	0.979	0	0	0	0	0	0	0	0	0.024	0.04	0	0	0	0
CSL193	0.066	0.069	0.024	0.017	0	0	0	0.016	0	0.003	0.019	0.019	0.008	0.004	0	0	0.054	0.133	0.018	0.018	0.014	0.014	0	0	0	0	0	0.035	0.053	0.021	0.019	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0.009	0.006	0.005	0	0.004	0	0	0	0	0	0.116	0.116	0	0	0	0	0	0	0.024	0.029	0.97	0.974	0.002	0	0	0	0	0.005	0.005	0.056	0.062	0.282	0.003	0	0
SCI018	0	0.001	0.003	0.001	0	0	0	0	0	0	0.001	0.001	0.002	0.002	0	0.212	0.012	0.008	0	0	0	0	0	0	0	0.006	0.011	0.002	0.004	0.016	0.004	0	0	0	0	0	0	0.006	0	0	0	0	0.002	0	0	0.006	0.004	0.001	0.001	0	0.003	0	0	0	0	0.002	0	0	0	0.003	0.005	0.007	0.007	0.007	0.007	0.336	0	0	0	0	0	0	0.002	0.002	0.014	0.014	0.001	0.006	0	0.002
SCI019	0	0	0.006	0.025	0.949	0.949	0	0.004	0.966	1	0	0.034	1	1	0.688	0.688	1	1	0	0	0.883	0.883	0	0.006	0	0.01	0.927	0.021	0.095	0.825	0.797	0.055	0.055	0.985	0.985	0	0	1	0	0.054	0.054	0.054	0.059	0	0	0	0	0.014	0	0	0	0.035	0	0	0	0	0	0	0	0.006	0.004	0	0	0.001	0	0.345	0	0	0	0	0	0	0	0	0	0	0.041	0.051	0	0.068
SCI020	0.056	0.015	0.026	0.013	0	0	0.014	0.014	0	0	0.017	0.017	0.014	0.014	0.01	0.01	0	0.095	0.016	0.016	0	0	0	0	0	0.018	0	0.048	0.043	0.047	0.04	0	0	0	0	0.023	0.023	0.009	0	0	0	0	0	0	0	0.014	0.015	0	0	0.002	0.002	0	0	0	0	0	0	0.005	0	0	0	0.016	0.028	0.037	0.037	0.985	0	0.018	0	0	0	0	0.035	0.035	0.026	0.03	0	0	0	0.975
SCI021	0.003	0.003	0.02	0.007	0.287	0.292	0.035	0.056	0.751	0.754	0	0	0	0	0.009	0.009	1	1	0.008	0.008	0.747	0.629	0	0	0	0.022	1	0.021	0.079	0	0	0.764	0.764	0.595	0.595	0	0	0.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152	0.152	0.039	0.039	0	0	0	0	0	0	0	0	0.096	0.096	0.777	0	0	0	0	0.024	0.048	0	0	0	0	0.017	0.029	0	0.068
SCI023	0.019	0.019	0.008	0.014	0	0	0	0.013	0.001	0.001	0.018	0.018	0.007	0.007	0.017	0.014	0.118	0.575	0.013	0.025	0	0	0.005	0.005	0	0.02	0	0.035	0	0.022	0.024	0	0.026	0	0	0	0.011	0.176	0	0	0	0	0	0	0	0.01	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0.023	0	0	0.359	0	0.008	0.369	0.436	0	0	0.147	0	0.015	0.042	0.12	0	0	0.206
SCI025	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0.005	0.013	0.001	0.001	0	0	0	0	0	0.009	0	0.01	0.012	0.015	0.015	0	0	0	0	0.006	0.006	0	0	0	0	0	0	0.003	0	0.006	0.006	0.003	0.003	0.004	0.004	0.002	0.002	0	0	0.001	0.001	0	0	0	0	0.008	0.008	0.016	0.016	0.001	0	0.015	0	0	0	0	0.009	0.009	0.018	0.018	0	0	0.002	0.001
SCI027	0	0	0	0.008	0.951	0.951	0.013	0.028	0.935	1	0.057	0.057	0.978	0.978	0.001	0.02	0.978	0.983	0.004	0.005	0.755	0.758	0	0	0	0.009	0.926	0.043	0.102	1	1	0.803	0.802	0.836	0.84	0	0	0	0.005	0.011	0.011	0.011	0.021	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0.081	0.058	0	0	0	0	0	0	0	0	0	0	0.019	0.019	0.033	0
SCI028	0.023	0.023	0.004	0	0	0	0	0.001	0	0	0	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0.007	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0.007	0.007	0.022	0	0.002	0.002	0.011	0.017	0	0	0.017	0.017	0.018	0.022	0.011	0.018	0.014	0.014	0.045	0.045	0.042	0.014	0	0.008	0.031	0.001	0.005	0.071	0.072	0.022	0.022	0.032	0.011	0.019	0.007
SCI029	0.016	0.016	0.028	0.007	0	0	0.008	0.008	0	0	0.005	0.005	0	0	0	0	0.084	0.084	0.01	0.011	0	0.346	0	0	0	0.006	0	0	0	0.028	0.021	0	0	0	0	0.009	0.009	0	0.006	0	0	0	0	0	0	0.012	0.012	0	0	0.011	0.011	0	0	0.005	0.005	0.008	0.008	0	0	0	0	0.039	0	0.044	0.044	0.987	0	0.024	0	0.848	0	0	0.036	0.036	0.058	0.06	0	0	0.007	0.003
CTF001	0	0.855	0.005	0	0	0	0	0	0.01	0.006	0	0	0.002	0.002	0.01	0.007	0	0	0	0.004	0.018	0.002	0.002	0.004	0	0	0	0	0	0	0	0.005	0.01	0.002	0	0	0	0.001	0	0.007	0.007	0.007	0	0	0.005	0.006	0.006	0	0.003	0	0	0.007	0.006	0	0	0	0	0.002	0.001	0	0	0	0	0	0	0.978	0.081	0.009	0.012	0.019	0.128	0.007	0	0	0	0	0.001	0.001	0	0.793
CTF002	0.004	0.007	0	0	0	0	0.039	0.036	0.008	0.008	0.005	0.013	0.003	0.006	0.011	0.011	0.002	0.003	0	0.008	0.007	0.009	0	0	0.011	0.011	0	0	0.003	0	0	0.009	0.019	0.021	0.018	0.006	0.006	0.031	0	0	0	0	0	0.004	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0.002	0.002	0	0	0.034	0.004	0	0.004	0.006	0	0	0	0	0	0	0	0
CTF003	0	0.03	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0.002	0.006	0.003	0.003	0	0	0	0	0	0	0	0.008	0	0	0	0.009	0.009	0	0	0	0	0.004	0.004	0.014	0	0.019	0.013	0.025	0.025	0	0.023	0.001	0.001	0.011	0.006	0	0	0.008	0.008	0.042	0.042	0	0	0	0	0.006	0.008	0.98	0.006	0.018	0.067	0.96	0	0.005	0.037	0.026	0	0	0.008	0.008	0.011	0.871
CTF004	0	0	0.007	0	0.013	0	0.005	0.009	0.001	0	0	0	0	0	0.016	0.017	0.003	0.002	0	0.003	0.01	1	0.001	0.001	0	0.692	0.016	0.004	0.004	0	0	0.017	0.017	0.896	0.896	0.022	0.022	0	0	0.006	0.006	0.006	0.006	0	0.006	0	0.005	0	0	0	0.002	0.012	0.028	0.002	0.006	0	0	0	0	0.002	0	0	0	0	0	0.198	0	0	0	0	0.004	0.012	0	0	0	0	0	0	0.01	0.005
CTF005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0.032	0.032	0	0	0	0	0	0	0.017	0.049	0.055	0.02	0.02	0	0	0.058	0.061	0.022	0.022	0.005	0	0.019	0.019	0.019	0.019	0.018	0	0.018	0.057	0.015	0.09	0.054	0.055	0.037	0.096	0.006	0.006	0	0.022	0.024	0.007	0	0	0.025	0.025	0.041	0.041	0.005	0	0	0.955	0	0	0	0.013	0.027	0	0	0	0	0	0
CTF010	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.008	0.008	1	1	0	0	0	0	0	0	0	0.133	0	0	0.009	0	0	0.001	0.001	0.978	0.971	0	0	0.989	0	0.007	0.007	0.007	0.007	0.01	0.013	0.006	0.02	0.013	0.008	0	0	0	0	0	0	0	0	0	0	0.005	0.007	0.008	0.008	0.003	0	1	0	0.019	0.014	0	0.023	0.018	0	0	0	0	0.007	0.007	0	0.016
CTF011	0	0.795	0	0	0.066	0.066	0.022	0.052	0.153	0.131	0.214	0	0.14	0.12	0.043	0.043	0.199	0.19	0.014	0.01	0.214	0.214	0.006	0.017	0	0	0.781	0	0	0.028	0.063	0.146	0.146	0.038	0.025	0.003	0.003	0.012	0.604	0	0	0	0	0.011	0.018	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.001	0	0.086	0.047	0	0	0	0	0	0	0	0	0	0.042
CTF023	0.001	0.016	0.013	0.013	0.999	1	0	0.019	1	1	0.01	0.025	0.995	1	0.02	0.009	1	0.999	0.017	0.002	0.993	0.993	0.009	0.013	0.039	0.012	1	0	0.003	0	0	0.017	0.017	0.968	0.955	0	0	0.999	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0.003	0	0	0	0	0.002	0.002	0	0.029
CTF024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.001	0	0	0	0	0	0	0	0.001	0	0.011	0.003	0.005	0.005	0	0	0	0	0	0.002	0.014	0.014	0.014	0.013	0.011	0.012	0.025	0.027	0.019	0.019	0.011	0.019	0.009	0.017	0	0.006	0.003	0.003	0.021	0.02	0	0	0.013	0.013	0.011	0.011	0.981	0.998	0.005	0.003	0.029	0	0	0	0	0.021	0.011	0.001	0.001	0.009	0
CTF025	0	0.845	0.013	0.007	0.952	0.948	0	0	1	1	0.276	0	0.993	0.992	0.017	0.016	0.964	0.97	0.029	0.02	0.015	0.015	0.007	0.007	0.036	0.018	1	0.006	0.025	0.008	0	0.018	0.018	0.971	0.988	0.023	0.017	1	0.01	0.031	0.031	0.031	0	0	0	0	0	0.033	0.033	0	0	0	0.251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTF026	0.052	0.97	0.022	0	0.992	0.961	0.986	0.95	0.987	0.997	0.702	0	1	1	0	0.034	1	1	0.063	0.049	0.016	0.019	0.02	0.004	0	0	1	0.009	0	0.016	0.015	0.002	0.002	1	1	0.027	0.089	0	0	0.003	0.003	0.003	0	0	0.009	0	0	0	0	0	0	0	0.071	0	0	0.056	0	0	0	0	0	0	0.011	0	0	0.724	0.008	0	0	0.117	0	0	0	0	0	0	0	0	0.001	0.978
CTF028	0	0.969	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.024	0	0	0	0	0.003	0	0	0	0	0.043	0.045	0	0	0.012	0.006	0	0	0	0.005	0.006	0.006	0.006	0	0	0.006	0.01	0.012	0.011	0.015	0.006	0.006	0.006	0.005	0.006	0.004	0.003	0.003	0.019	0	0	0	0.006	0.006	0.01	0.002	0	0.009	0.007	0.009	0.982	0	0	0.009	0.01	0	0	0	0	0.008	0
CTF029	0	0	0	0	0	0	0.065	0.063	0	0	0	0	0.06	0.06	0.006	0	0	0	0.005	0.014	0	0	0	0	0	0	0	0	0.001	0	0	0.015	0.011	0.006	0.006	0	0	0	0	0.014	0.014	0.014	0.01	0.012	0.012	0.017	0.019	0	0	0.006	0.006	0.013	0.01	0	0	0	0.002	0.002	0.001	0	0	0.004	0.004	0.014	0.014	0.145	0.009	0.016	0.006	0	0.008	0.01	0	0	0	0	0.007	0.007	0.001	0.004
CTF030	0	1	0.009	0	0.783	0.73	0	0	0.046	0.046	0.006	0	0.012	0.012	0.026	0.026	0.013	0.012	0.021	0.013	0.014	0	0	0.005	0	0.008	0.19	0.003	0.034	0	0.01	0.01	0.027	0.007	0	0.02	0	0.014	0	0	0.993	1	0	0	0.992	0	0	0.013	0.008	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0.013	0.174	0	0.971	0	0	0	0	0.006	0	0	0	0	0.002	0	0.068	0	1
CTF031	0	0.02	0.009	0.009	0.006	0.006	0.021	0.021	0.025	0.017	0.017	0.019	0.017	0.023	0	0	0.011	0.011	0.014	0.001	0.01	0.003	0.017	0	0	0.011	0.005	0.003	0	0	0.053	0.018	0.018	0	0.012	0	0	0.012	0	0.037	0.175	0.175	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0.974	0.974	0	0	0	0	0	0	0	0.756	0.965	0	0	0.479	0.076	0.787	0	0	0	0.004	0	0.016	0.016	0	0.022
CTF032	0.005	0.984	0	0	0	0	0	0	0.003	0	0.005	0	0	0.007	0	0.007	0	0	0.001	0.003	0	0.002	0.006	0.007	0	0.014	0	0.014	0.007	0.014	0.013	0.006	0	0.064	0.026	0	0.003	0.006	0	0.005	0.005	0.005	0	0.001	1	0.01	0.01	0.005	0.015	0	0.001	0	0.001	0.004	0	0.009	0	0.989	0.009	0	0	0.006	0	0	0	0.985	0	0.045	0	0	0	0	0	0	0	0	0.016	0	0	0.99
CTF033	0	0	0.934	0.835	0.624	0.242	0.134	0.093	1	1	1	0.772	0.998	0.995	0.011	0.019	0.98	0.98	0	0	0.994	0.994	0.383	0.382	0	0	1	0	0	0	0	1	1	1	1	0	0	0.979	0.243	0.014	0.009	0.015	0.01	0	0	0	0.508	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.011	0	0	0	0	0.111	0.015	0	0	0.007	0.011	0.011	0	0	0	0	0.007	0.004	0	0
CTF035	1	1	1	1	0.066	0.027	0	0	1	1	0.987	0.959	0.03	0.043	0.016	0.017	1	1	0	0	1	1	0.006	0.006	0.003	0	1	0	0.164	0.009	0.95	0.028	0.029	0.942	0.949	0	0	0.394	0	0	0	0.014	0	0	0	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0.026	0.023	0	0	0	0	0	0.008	0	0.009	0.008	0	0	0	0	0	0	0.022	0.022	0	0.04
CTF036	0.009	0.019	1	0.015	0.088	0.977	0.015	0.015	1	1	1	0.974	1	1	0.021	0.025	1	1	0.019	0.015	0.014	0.019	0.014	0.014	0	0.019	0.127	0.009	0.017	0.009	0.003	0.021	0.017	0.982	0.277	0.011	0.695	0.023	0.006	0	0	0	0	0	0	0	0.899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.972	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTF038	1	1	1	1	0.981	0.98	0.993	0.993	1	1	1	0.994	0.991	0.991	0	0.002	0.999	1	0.018	0.009	0.017	1	0	0.014	0.041	0.014	1	0.017	0.039	0.984	1	1	1	1	1	0.063	0.08	1	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTF039	0.068	0.883	0.006	0	0	0	0	0.004	0.002	0.002	0.019	0.014	0	0	0.007	0.007	0.007	0.008	0	0	0.014	0.014	0.026	0.026	0.015	0.002	0.017	0.022	0.022	0.054	0	0.003	0.003	0.021	0	0.027	0.027	0.013	0	0	0.003	0.003	0	0	0.006	0.01	0.01	0	0	0	0	0	0	0.009	0.016	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0
CTF040	0.004	0.004	0	0	0	0	0	0	0.007	0.007	0.001	0	0	0.003	0.014	0.007	0.041	0.041	0.01	0.007	0.004	0.004	0.001	0.001	0	0	0.006	0.015	0	0.008	0.008	0.006	0.007	0.005	0.02	0.02	0.02	0	0.007	0	0	0	0	0.002	0.002	0.016	0.016	0	0.016	0	0	0	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0.985	0.005	0	0	0.018	0	0	0	0	0	0	0	0	0.99	0
CTF041	0	0	0	0	0	0.974	0	0	0.005	0.005	0	0	0	0	0	0	0.006	0.006	0	0	0	0.985	0	0	0	0	0.001	0	0	0	0	0	0	0.002	0	0	0	0	0	0.005	0.005	0.005	0.012	0.013	0.013	0.023	0	0.016	0.016	0	0	0.008	0.019	0.013	0.013	0.01	0.013	0	0	0.013	0.012	0.011	0	0.01	0.01	0.125	0.002	0	0.008	0.002	0.011	0.006	0.015	0.023	0	0	0.013	0.013	0.012	0.001
CTF042	0.026	0.026	0	0	0	0	0.012	0.001	0	0	0.002	0.011	0.007	0.002	0	0	0	0	0	0	0.007	0.007	0.03	0.018	0	0	0	0	0.016	0.007	0	0	0.022	0	0.012	0.001	0.016	0	0	0	0	0	0	0.002	0.016	0.007	0.024	0	0	0.008	0.008	0	0	0	0	0.002	0.002	0.015	0.015	0.005	0.011	0	0	0	0	0.973	0.447	0.005	0.011	0	0	0.009	0	0	0.003	0	0	0	0.006	0.015
CTF043	0	0.008	0	0.003	0	0	0	0.009	0.004	0.004	0.029	0.034	0	0	0.012	0.011	0	0	0.003	0	0.006	0	0	0	0	0	0	0	0	0	0	0.016	0.016	0.5	0.512	0	0	0.005	0	0.006	0.006	0.006	0.052	0.002	0	0.017	0.018	0.003	0	0	0	0	0	0.004	0.004	0	0	0.001	0.001	0	0.001	0	0.006	0.017	0.023	0.971	0.023	0.013	0.034	0	0.028	0.024	0	0	0	0	0.012	0.012	0	0.038
CTF044	0	0	0	0	0	0	0.041	0.018	0.33	0.339	0.04	0	0.35	0.349	0	0	0	0.533	0	0	0.08	0.08	0	0	0	0	0.015	0	0	0.034	0.031	0.006	0.078	0.053	0.053	0	0	0.067	0	0.036	0.036	0.036	0.021	0.182	0.182	0.02	0.02	0	0	0	0	0	0.351	0	0	0.029	0.035	0.458	0	0.02	0.013	0	0	0.006	0.013	0.974	0.033	0	0.129	0.129	0	0	0	0	0	0	0.958	0.958	0	0.968
