sample	amp_chr_1p	amp_chr_1q_MCL1	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q_TERC	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC_amp	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p_BCMA	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21p	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q_SP140	del_chr_3p	del_chr_3q_BCL6	del_chr_4p_NSD2	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q_MYC_del	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q	del_chr_14q_MAX	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21p	del_chr_21q	del_chr_22q_XBP1
SMM-011_pair	0	1	0	0	0.001	0.001	0.031	0.031	0.001	0.007	0	0	0.007	0.007	0	0	0	0	0.015	0.015	0	0	0	0	0.019	0	0	0	0	0	0	0.064	0.064	0.9	0.9	0	0	0	0	0	0.023	0	0	0	0.001	0.001	0	0	0	0	0	0	0.003	1	0	0	0.005	0.005	0.016	0.016	0	0	0.044	0.044	0.023	0.023	0	0	0.003	0.069	0.069	0.057	0.057	0	0	0	0	0.045	0.045	0.01	0.01	0.039
SMM-012_pair	0.031	0.031	0.014	0.014	0.02	0.02	0.008	0.008	0.024	0.024	0.014	0	0	0	0	0	0	0	0.004	0.004	0	0.977	0.015	0.015	0	0	0.011	0	0	0	0	0.023	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0.012	0.012	0.014	0.014	0	0	0.034	0	0	0	0.061	0.006	0	0.101	0.101	0.03	0.03	0	0	0.037	0.029	0.003	0.003	0.001	0.001	0.027
SMM-013_pair	0	0	0.055	0.055	0.066	0.066	0.086	0.086	0.134	0.134	0.062	0.062	1	1	0	0	0	0	0	0	0.945	0.985	0.009	0.009	0	0	0.073	0	0	0	0	0.101	0.101	0	0	0	0	0	0	0	0.014	0.014	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.063	0.063	0.002	0.002	0	0	0	0	0.998	0	0	0.224	0.224	0.183	0.183	0	0	0.256	0.256	0.052	0.052	0.037	0.037	0.127
SMM-015_pair	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.004	0	0	0.047	0.047	0	0	0	0	0.013	0.013	0	0.001	0	0	0	0	0	0	0	0.002	0.002	0.012	0.012	0	0	0	0.028	0.028	0.028	0.028	0.009	0.009	0.019	0.019	0.017	0.017	0.002	0.002	0.034	0.02	0	0	0.036	0.036	0	0	0.009	0.009	0	0	0	0	0.063	0	0.028	0.02	0.02	0.009	0.009	0.052	0.052	0	0	0	0	0.044	0.044	0.004
SMM-016_pair	0	0	0	0.181	0.478	0.349	0.292	0.292	0.464	0.464	0	0.166	0.108	0.614	0.387	0.385	0.555	0.337	0.258	0.258	0.825	0.171	0	0.112	0.2	0.015	0	0.751	0	0	0	0.017	0.017	0	0	0.592	0.592	0	0	0.519	0.163	0.163	0.163	0	0.28	0.195	0	0.53	1	0	0	0	0.561	0	0	0	0	0	0	0	0	0	0	0	0.743	0	0	0	0.239	0	0.852	0.352	0.956	0	0	1	1	0	0	0.067	0.13	0
SMM-017_pair	0	0	0	0	0.026	0.026	0.01	0.01	0.043	0.043	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0.013	0	0	0	0	0.018	0.018	0	0	0.018	0.018	0.034	0.034	0	0.012	0.012	0.012	0.012	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0.005	0.005	0	0	0.022	0.022	0.012	0.012	0	0	0.966	0.023	0	0.049	0.049	0.045	0.045	0	0	0.063	0.063	0	0	0	0	1
SMM-018_pair	0	0.007	0.007	0.017	0.014	0.014	0	0	0.011	0.011	0	0	0.026	0.026	0	0	0.003	0.003	0	0	0.006	0.006	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0.007	0	0.68	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0.004	0.004	0	0	0	0	0	0	0.024	0.024	1	1	0	1	1	0	0	0.005	0.665	0.003	0.003	0.665	0	0.006	0	0.999
SMM-019_pair	0	0	0.01	0	1	1	0.026	0.026	1	1	0	0.02	0.001	0.001	0	0	0.987	0.987	0.003	0.003	0	1	0	0	0.002	0.011	1	0	0	0	0	0.028	0.028	0.931	0.938	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.012	0	0	0	0.021	0.021	0	0	0	0	0.012	0	0	0	0	0	0	0.027	0.027	0.023	0.023	0	0	0	0	0.012	0.012	0	0	0.034
SMM-020_pair	0.087	0.087	0.038	0.038	0.03	0.03	0	0	0.005	0.005	0	0.026	0.011	0.011	0.007	0.007	0.041	0.041	0	0	0.054	0.054	0.063	0.063	0	0.015	0.017	0.091	0.091	0.093	0.093	0	0	0.118	0.118	0.029	0.029	0	0	0.072	0	0	0	0	0	0	0	0	0.014	0.014	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0	0	0	0	0	0	0.032	0.032	0	0	0	0	0.003	0.003	0
SMM-021_pair	0.881	0.881	0.165	0.165	0.296	0.296	0.352	0.352	0	0	0.692	0.551	0.472	0.472	0.11	0.11	0.356	0.356	0	0	0.627	0.607	0.657	0.657	0	0.648	0.061	0.813	0.813	1	1	0	0	1	1	1	1	0	0	0.681	0	0	0	0	0	0	0	0	0	0	0.051	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.137	0.137	0	0	0	0	1	1	0
SMM-022_pair	0.013	0.013	0.002	0.002	1	1	0.117	0.117	0	0	0	0	0	0	0.135	0.135	1	1	0	0	1	1	0	0	0	0	0.005	0	0	0	0	0	0	1	1	0.098	0.098	0.037	0.037	0	0	0	0	0	0	0	0	0	0	0	0.012	0.012	0	0.046	0.032	0.032	0	0	0	0	0.037	0.037	0	0	0	0	0.12	0.038	0	0.016	0.016	0.002	0.002	0.027	0.027	0	0	0	0	0	0	0.027
SMM-023_pair	0.001	0.001	0.008	0.008	0.007	0.007	0.057	0.057	0	0.024	0.031	0	0	0	0	0	0	0	0	0	0.017	0.639	0.018	0.018	0	0.07	0.01	0	0	0	0	0.012	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0	0	0.546	0.087	0.003	0.026	0.026	0.035	0.035	0.01	0.134	0	0	0	0	1	0	0	0.037	0.037	0.013	0.007	0	0	0.033	0.033	0.001	0.001	0.038	0.038	0.038
SMM-024_pair	0.076	0.076	0.033	0.033	1	1	0	0	1	1	0.04	0.03	0	0	0.02	0.02	0.989	0.989	0.837	0.837	1	1	0.012	0	0	0.031	1	0	0	0	0	0.038	0.038	1	1	1	1	0.85	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0.033	0	0	0	0	0	0	0	0	0	0.002	0.026	0	0	0.054	0.054	0.139	0.139	0	0	0	0	0	0	0	0	0.119
SMM-025_pair	0.006	0.006	0.003	0.003	0.003	0.003	0	0	1	1	0	0	0.996	0.996	0	0	0.989	1	0	0	0.001	0	0	0	0	0.038	1	0.022	0	0.058	0.03	0	0	1	1	0.003	0	0.981	0.981	0.015	0	0	0	0	0	0	0	0	0.011	0.011	0	0	0.002	0.002	0	0	0.015	0.015	0	0	0.011	0.011	0	0.016	0	0	0.026	0	0	0	0	0	0	0.014	0.014	0	0	0	0.974	0	0	0
SMM-026_pair	0.021	0.021	0.013	0	0.002	1	0	0	0.087	0.087	0.05	0	0	0	0	0	0.914	0.914	0	0	0	0	0.004	0.004	0	0	0.053	0	0	0	0	0.014	0	0.89	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.073	1	0	0	0	0.445	0	0.041	0.005	0.005	0	0	1	0.079	0.012	0.012	0	0	0.065	1	0	0.054	0.054	0.054	0.053	0	0.279	0	0	1	0.019	0	0	0.029
SMM-027_pair	0.218	0.218	0.017	0.017	1	1	1	1	0	0.118	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0.162	0.162	1	1	0.32	0	0	0	0	0	0	0	0	0	0	0.388	0	0	0	0	0	0.01	0.01	0	0	0.15	0.15	0	0	0.022	0.022	0.122	0	0	0.142	0.142	0	0	0	0	0	0	0	0	0	0	0
SMM-028_pair	0	0.016	0	0	0.001	0.001	0.957	0.957	1	1	0	0	0.018	0.014	0.01	0.01	1	1	0	0	1	1	0	0.012	0	0.01	1	0	0	0.015	0	0	0	0.985	0.985	0.676	0.398	0	0	0.004	0.041	0.801	0.335	0	0	0	0	0	0	0	0	0	0.004	0.812	0	0	0	0	0	0	0.002	0.002	0	0	0.515	0	0.999	0	0	0.008	0.008	0	0.797	0	0	0	0	0	0	0	0	0
SMM-029_pair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0	0.272	0.272	0.589	0.589	0	0	0.222	0.222	0	0	0	0	0.646	0.009	0.009	0.009	0.009	0.694	0.694	0.418	0.418	1	1	0.962	0.962	1	1	0.919	0.931	1	1	0.787	0.787	1	1	0.478	0.478	0.094	0.094	1	0	0.135	0	0	0	0	1	1	0	0	0	0	0.358	0.358	0
SMM-030_pair	0.013	1	0.001	0.001	0	0	0.014	0.014	0.007	0.007	0.991	0.057	0.022	0.012	0.01	0.01	0.99	0.99	0.004	0	0	0	0.002	0.002	0	0.006	0	0	0	0	0	0	0	0.65	0.65	0.989	0.989	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.004	0.004	0	0	0.066	0	0.001	0.012	0.012	0.003	0.003	0.003	0.003	0	0	0	0	0.011	0.011	0.032
SMM-031_pair	0.003	0.003	0	0	0	0	0.006	0.006	0	0	0.105	0.01	1	1	0.001	0.001	1	1	0.001	0.001	0	0	0.011	0.011	0	0.005	1	0	0	0.011	0.011	0	0	0.982	0.982	0	0.009	0	0	0	0	0	0	0	0.001	0.001	0.002	0.002	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.015	0.015	0	0	1	0	0	0.012	0.012	0	0	0.003	0.003	0	0	0.036	0	0.015	0.015	0.007
SMM-032_pair	0.005	0.307	0	0	0	0	0.002	0.002	0	0	0	0	0.004	0	0	0	0.009	0.009	0	0	0.002	0.002	0	0	0	0	0	0.005	0	0.018	0.018	0.005	0.005	0.017	0.017	0	0	0.008	0.008	0.012	0	0	0	0	0.022	0.022	0.005	0.005	0	0	0.008	0.008	0.005	0.005	0	0	0.2	0.003	0	0	0.004	0.004	0	0	0.024	0.024	0.605	0.607	0.004	0.223	1	0	0	0	0	0	0	0.004	0.004	0	0	0
SMM-033_pair	0.131	0.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.61	0.61	0	0	0	0	0	0	0	0	0	0.312	1	0.186	0.186	0.945	0.945	0.783	0.783	0.304	0.304	0.553	0.732	1	1	0.643	0.643	0.74	0.74	0.499	0.499	0.363	0.147	1	0.018	0.032	0.599	0.599	0	0	1	1	0	0	0.01	0.01	0.879	0.879	0.111
SMM-034_pair	0	0	0	0	0.005	0.005	0.001	0.001	1	1	0	0	0.991	0.991	0	0	0.99	0.99	0.001	0.001	1	0.991	0	0	0.009	0.004	1	0	0	0	0	0.018	0.018	0.971	0.971	0	0	0.012	0.012	0	0	0	0	0	0.003	0.003	0	0	0	0	0	0	0.009	0.006	0	0	0.011	0.011	0	0	0	0	0	0	0.004	0.004	0	0	0	0.049	0.049	0.007	0.007	0	0	0	0	0.004	0.004	0	0	0
SMM-035_pair	0.014	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0.061	0	0	0.077	0.057	0	0	0	0	0	0.062	0	0.03	0.03	0.002	0.002	0.164	0.164	0	0	0	0	0	0	0	0	0	0.101	0.101	0.102	0.102	0.003	0.003	0.088	0.088	0.116	0.116	0.006	0.006	0.103	0.103	0	0	0.074	0.074	0	0	0.027	0.027	0.804	0.002	0.027	0.258	1	0	0	0	0	0	0	0.021	0.021	0.008	0.008	0.084
SMM-036_pair	0	1	0.007	0.002	0.002	0.002	0.019	0.019	0.008	0.008	0	0	0	0	0	1	0	1	0.001	0.001	0	0	0	0	0.01	0	0.004	0	0	0	0	0.013	0.013	0.938	0.938	0	0	0	0	0	1	1	0.011	0	0	0.026	0	0	0	0	0	0	0.012	1	0.009	0.009	1	0	1	0	0	0	0.034	0.034	0.001	0.001	0	0	0	0.059	0.059	0.043	0.043	0	0	0	0	1	0.722	0.018	0.018	0.065
SMM-037_pair	0.086	0.195	0.08	0	0	0	0.194	0.194	0.088	0.088	0.252	0.252	0	0	0.404	0.404	0	0	0	0	1	0	0.008	0.008	0.33	0	0	0	0	0	0	0.266	0.266	0	0	0.006	0.006	0	0	0	0	0	0	0	0	0.944	0.006	0.006	0	0	0	0	0	0	0.535	0.535	0	0	0.215	0.215	0.401	0.401	0	1	0	0	0	0.131	0.135	0.935	0.935	1	1	0	0	1	1	0	0	1	1	0.992
SMM-038_pair	0.024	0.024	0	0	0	0	0	0	0	0	0	0	0.034	0.031	0	0	0	0	0.004	0.004	0.047	0.047	0.027	0.027	0	0.043	0	0.049	0.049	0.034	0.109	0	0	0.148	0.148	0.004	0.004	0	0	0.012	0	0	0	0	0.012	0.012	0.024	0.024	0.077	0.075	0.03	0.03	0.006	0.006	0	0	0.046	0.046	0.005	0.005	0	0	0	0	0	0	0.071	0	0.02	0	0	0	0	0.098	0.098	0	0	0	0	0	0	0
SMM-039_pair	0.085	0.085	0	0	0.023	0.023	0	0	0.038	0.038	0.012	0.012	0.008	0.008	0.046	0.046	0.01	0	0	0	0	0.032	0.024	0.024	0	0.031	0.017	0.074	0.074	0	0	0	0	0	0	0.117	0.117	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0.018	0.018	0.065	0	0	0	0.151	0	0	0	0	0.027	0.054	0.048	0.048	0.056	0.099	0	0	0.097	0.097	0.075
SMM-040_pair	0.054	0.054	0.001	0	1	1	0	0	1	1	0.205	0	1	1	0.004	0.004	1	1	0.062	0.062	1	1	0.093	0.093	0	0.087	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0.08	0	0	0.092	0.092	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0.176	0	0	0	0	0	0	0.042	0.042	0	0	0.066	0.066	0	0	0.092
SMM-041_pair	0	1	0	0	0	0	0	0	0	0	0.098	0	0.014	0.378	0	0	0	0	0	0	0	0	0.009	0.011	0	0	0.005	0.033	0	0.027	0.027	0	0	0.042	0.042	0	0	0.013	0.013	0.009	0	1	0.008	0	0.009	0	0.004	0.004	1	0.002	0.021	0.01	0	0.249	0	0	0	0	0.005	0.004	1	0	0.001	0.001	0	0	1	0.008	0	0	1	0	0	0.004	0.004	0	0	1	1	0	0	0
SMM-042_pair	0.047	0.047	0	0	0	0	0	0	0	0	0.131	0.131	0.177	0.177	0	0	0	0	0.176	0	0.304	0.304	0.071	0.071	0	0.578	0.578	0.064	0.064	0.32	0.32	0	0	0.999	0.999	0	0	0	0	0	0	0	0	0	0.01	0.01	0.058	0.058	0.393	0.393	0.004	0.004	0	0	0	0	0.17	0.17	0.073	0.073	0	0	0	0	0	0	0.385	0	0	0	0	0	0	0.256	0.256	0	0	0.07	0.07	0.389	0.389	0.007
SMM-043_pair	0.055	0.084	0	0.128	1	1	0.053	0.194	1	1	0.23	0	0	0.168	0.104	0.104	1	1	0	0	1	1	0.063	0.055	0.087	1	0.897	0.093	0	0	0	0	0	0.692	0.692	0	0.065	0.152	0.042	0	0	0	0	0	0.062	0	0	0	0.655	0	0	0	0	0.371	0.377	0	0	0	0	0	0.071	0.081	0	0	0	0	0	0	0	0	0.087	0.232	0.133	0	0	0	0	0.079	0	0	0	0.128
SMM-045_pair	0.004	0	0	0	1	1	0	0	0.998	0.998	0.999	0.618	0.722	0	0.217	0.217	1	1	0	0	1	1	0	0	0	0.007	1	0	0	0.007	0.007	0	0	1	1	0	0.042	0	0	0	0	0	0.012	0.012	0	0	0	0	0.006	0.006	0	0	0	0	0	0.01	0	0	0	0	0.013	0.013	0	0	0.002	0.002	0.02	0	0	0.004	0.004	0	0	0.01	0.01	0	0	0.02	0	0	0	0.002
SMM-046_pair	0	0	0.4	0.4	0.295	0.295	0.428	0.428	0.307	0.307	0	0	0.144	0.144	0	0	0.36	0.36	0	0	0	0	0	0	0	0	0.612	0	0	0	0	0.56	0.56	0	0	0	0	0	0	0	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0.231	0.231	0	0	0.39	0.397	0	0	0.227	0.227	0	0	0.139	0.139	0.503	0.033	0	1	0.417	0.476	0.476	0	0	0.996	0.996	0.182	0.182	1	1	0.907
SMM-047_pair	0	0.087	0.027	0.027	0.031	1	0.06	0.06	1	1	0.049	0.049	1	1	0	0	1	1	0	0	1	1	0	0	0	0.024	1	0	0	0	0	0.079	0.079	1	1	0.004	0	0	0	0	0.007	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.008	0	0	0.01	0.01	0	0	0	0	0.898	0	0	0.258	1	0.999	0.141	0	0	0	0	0	0.049	0.145	0.145	0.321
SMM-048_pair	0.165	0.165	0.097	0.097	1	1	0	0	0.148	0.148	0.037	0.037	1	1	0	0	1	1	0	0	1	1	0.224	0.224	0.001	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0.076	0.076	0	0	0	0	0	0	0.234	0.234	0	0	0	0	0	0	0	0	0	0.087	0	0.443	0.443	0.366	0.366	0	0	0	0	0.199	0.199	0	0	0.53
SMM-049_pair	0.046	1	0.025	0.025	0.042	0.042	0	0	0.058	0.058	0.046	0.046	0	0	0	0	0	0	0	0	0.107	0.004	0.035	0.035	0	0	0.036	0	0	0	0	0.046	0.046	0	0	0.085	0.085	0	0	0	0	0	0	0	0	0	0	0	0.053	0.053	0	0	0	0	0.039	0.039	0.044	0.044	0.041	0.041	0	0	0	0	0	0	1	0.591	0	0.097	0.097	0.014	0.014	0	0	0.063	0.063	0	0	0.022	0.022	0.076
SMM-050_pair	0	0	0.02	0.02	0	0	0	0	1	1	0.015	0.015	1	1	0	0	1	1	0.011	0.011	1	1	0.007	0.007	0.001	0.038	1	0	0	0	0	1	1	0.944	0.944	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.008	0	0	0	0	0	0	0	0	0	0	0	0.043	0.043	0.027	0.027	0	0	0	0	0	0	0.047	0.047	0.154
SMM-051_pair	0.484	0.006	0.157	0.157	0	0	0	0	0.029	0.029	0.035	0.035	0.416	0.416	0.149	0.149	0.143	0.143	0	0	0.087	0.087	0	0	0.379	0.003	0	0.366	0.366	0.293	0.293	0	0	1	1	0.421	0.421	0.292	0.292	0.443	0	0	0	0	0	0	0.093	0.093	0.041	0.041	0	0	0	0	0	0	0	0	0	0	0.123	0.123	0	0	0	0	0	0	0.09	0	0	0	0	0.288	0.288	0	0	0	0	0	0	0
SMM-052_pair	0.01	0.01	0	0	1	1	1	1	0.123	0.123	1	1	0.985	1	0	0.023	0.164	0.164	0	0	0	0	0.004	0.004	0	0.005	1	0	0	0.008	0.008	0.137	0.137	1	1	0	0	0	0	0	0	0	0	0	0.009	0.009	0	0	0	0	0	0	0	0	0	0	0.574	0	0	0	0	0	0.008	0.008	0	0	0.281	0	0	0.013	0.013	0	0	0	0	0	0	0.02	0.02	0.003	0.003	0.005
SMM-053_pair	0.009	0.009	0.006	0.009	0	0	0.009	0.009	1	1	0	0.002	0	0	0	0	0.989	0.989	0	0	1	1	0.011	0.011	0	0.018	1	0	0	0.002	0.002	0.003	0.003	0.961	0.961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0.012	0.009	0.004	0	0	0.012	0.012	0	0	0	0	0.459	0	0	0.031	0.031	0	0	0	0	0	0	0.005	0.005	0.009	0.009	0.008
SMM-054_pair	0.024	0.024	0	0	0	0	0	0	0	0	0	0	0.227	0.241	0.114	0.114	0.099	0.099	0.008	0.008	0.451	0.451	0.124	0.124	0.07	0.191	0.079	0	0	0.041	0.041	0.026	0.026	0	0	0.046	0.046	0.039	0.039	0.022	0	0	0	0	0.017	0.017	0.023	0.023	0.008	0.008	0.014	0.014	0.042	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0.117	0	0	0	0	0.077	0.077	0	0	0	0	0
